Model_Prompt,Metric,Auto_Mean,Auto_Std,Human_Mean,Human_Std
llama3_8b_vanilla,Fluency,4.05,0.2236067977499789,4.85,0.48936048492959294
llama3_8b_vanilla,Coherence,4.9,0.30779350562554625,4.7,0.9233805168766386
llama3_8b_vanilla,Realism,4.05,0.2236067977499789,4.7,0.5712405705774793
llama3_8b_vanilla,Fidelity,4.1,0.3077935056255462,2.8,1.1516578439248717
llama3_8b_vanilla,Engagement,3.85,0.3663475485325232,3.65,0.8127277008872491
llama3_8b_vanilla,Originality,2.85,0.4893604849295929,3.2,0.6155870112510924
llama3_8b_fewshot,Fluency,4.0,0.0,4.85,0.6708203932499368
llama3_8b_fewshot,Coherence,4.95,0.2236067977499789,4.8,0.6958523739384593
llama3_8b_fewshot,Realism,4.0,0.0,4.75,0.7163503994113789
llama3_8b_fewshot,Fidelity,3.95,0.2236067977499789,2.75,0.6386663736585051
llama3_8b_fewshot,Engagement,3.65,0.48936048492959283,3.9,0.7880689256524122
llama3_8b_fewshot,Originality,2.65,0.48936048492959283,3.4,0.8825799501580875
llama3_8b_noimperf,Fluency,4.1,0.30779350562554625,5.0,0.0
llama3_8b_noimperf,Coherence,5.0,0.0,5.0,0.0
llama3_8b_noimperf,Realism,4.1,0.30779350562554625,5.0,0.0
llama3_8b_noimperf,Fidelity,4.7,0.47016234598162726,3.25,0.6386663736585051
llama3_8b_noimperf,Engagement,4.05,0.22360679774997894,4.1,0.3077935056255462
llama3_8b_noimperf,Originality,3.05,0.223606797749979,3.55,0.5104177855340404
llama3_70b_vanilla,Fluency,4.8,0.4103913408340616,4.7,0.6569466853317862
llama3_70b_vanilla,Coherence,4.95,0.2236067977499789,4.65,0.8127277008872492
llama3_70b_vanilla,Realism,3.95,0.2236067977499789,4.75,0.7863975156570492
llama3_70b_vanilla,Fidelity,3.95,0.3940344628262061,4.3,1.1285761872936697
llama3_70b_vanilla,Engagement,3.95,0.2236067977499789,3.75,0.4442616583193193
llama3_70b_vanilla,Originality,2.9,0.3077935056255463,3.2,0.6958523739384593
llama3_70b_fewshot,Fluency,4.8,0.4103913408340616,4.85,0.3663475485325234
llama3_70b_fewshot,Coherence,4.95,0.2236067977499789,4.85,0.3663475485325234
llama3_70b_fewshot,Realism,4.0,0.0,4.9,0.3077935056255463
llama3_70b_fewshot,Fidelity,3.85,0.4893604849295929,3.45,1.2763022245616642
llama3_70b_fewshot,Engagement,3.85,0.3663475485325232,3.75,0.7163503994113789
llama3_70b_fewshot,Originality,2.9411764705882355,0.2425356250363329,3.1,0.6407232755171874
llama3_70b_noimperf,Fluency,5.0,0.0,5.0,0.0
llama3_70b_noimperf,Coherence,5.0,0.0,4.9,0.30779350562554625
llama3_70b_noimperf,Realism,4.0,0.0,5.0,0.0
llama3_70b_noimperf,Fidelity,4.3,0.47016234598162726,3.35,1.2258187382102494
llama3_70b_noimperf,Engagement,4.2,0.4103913408340616,3.95,0.3940344628262061
llama3_70b_noimperf,Originality,3.0,0.0,3.4,0.5982430416161186
